id,name,hex
0,Metallic Black,#080808
1,Metallic Graphite Black,#0F0F0F
2,Metallic Black Steal,#1C1E21
3,Metallic Dark Silver,#292C2E
4,Metallic Silver,#5A5E66
5,Metallic Blue Silver,#777C87
6,Metallic Steel Gray,#515459
7,Metallic Shadow Silver,#323B47
8,Metallic Stone Silver,#333333
9,Metallic Midnight Silver,#1F2226
10,Metallic Gun Metal,#23292E
11,Metallic Anthracite Grey,#121110
12,Matte Black,#050505
13,Matte Gray,#121212
14,Matte Light Grey,#2F3233
15,Util Black*,#080808
16,Util Black Poly*,#121212
17,Util Dark silver*,#202224
18,Util Silver*,#575961
19,Util Gun Metal*,#23292E
20,Util Shadow Silver*,#323B47
21,Worn Black*,#0F1012
22,Worn Graphite*,#212121
23,Worn Silver Grey*,#5B5D5E
24,Worn Silver*,#888A99
25,Worn Blue Silver*,#697187
26,Worn Shadow Silver*,#3B4654
27,Metallic Red,#690000
28,Metallic Torino Red,#8A0B00
29,Metallic Formula Red,#6B0000
30,Metallic Blaze Red,#611009
31,Metallic Graceful Red,#4A0A0A
32,Metallic Garnet Red,#470E0E
33,Metallic Desert Red,#380C00
34,Metallic Cabernet Red,#26030B
35,Metallic Candy Red,#630012
36,Metallic Sunrise Orange,#802800
37,Metallic Classic Gold*,#6E4F2D
38,Metallic Orange,#BD4800
39,Matte Red,#780000
40,Matte Dark Red,#360000
41,Matte Orange,#AB3F00
42,Matte Yellow,#DE7E00
43,Util Red*,#520000
44,Util Bright Red*,#8C0404
45,Util Garnet Red*,#4A1000
46,Worn Red*,#592525
47,Worn Golden Red*,#754231
48,Worn Dark Red*,#210804
49,Metallic Dark Green,#001207
50,Metallic Racing Green,#001A0B
51,Metallic Sea Green,#00211E
52,Metallic Olive Green,#1F261E
53,Metallic Green,#003805
54,Metallic Gasoline Blue Green,#0B4145
55,Matte Lime Green,#418503
56,Util Dark Green*,#0F1F15
57,Util Green*,#023613
58,Worn Dark Green*,#162419
59,Worn Green*,#2A3625
60,Worn Sea Wash*,#455C56
61,Metallic Midnight Blue,#000D14
62,Metallic Dark Blue,#001029
63,Metallic Saxony Blue,#1C2F4F
64,Metallic Blue,#001B57
65,Metallic Mariner Blue,#3B4E78
66,Metallic Harbor Blue,#272D3B
67,Metallic Diamond Blue,#95B2DB
68,Metallic Surf Blue,#3E627A
69,Metallic Nautical Blue,#1C3140
70,Metallic Bright Blue,#0055C4
71,Metallic Purple Blue,#1A182E
72,Metallic Spinnaker Blue,#161629
73,Metallic Ultra Blue,#0E316D
74,Metallic Bright Blue,#395A83
75,Util Dark Blue*,#09142E
76,Util Midnight Blue*,#0F1021
77,Util Blue*,#152A52
78,Util Sea Foam Blue*,#324654
79,Uil Lightning blue*,#152563
80,Util Maui Blue Poly*,#223BA1
81,Util Bright Blue*,#1F1FA1
82,Matte Dark Blue,#030E2E
83,Matte Blue,#0F1E73
84,Matte Midnight Blue,#001C32
85,Worn Dark blue*,#2A3754
86,Worn Blue*,#303C5E
87,Worn Light blue*,#3B6796
88,Metallic Taxi Yellow,#F5890F
89,Metallic Race Yellow,#D9A600
90,Metallic Bronze,#4A341B
91,Metallic Yellow Bird,#A2A827
92,Metallic Lime,#568F00
93,Metallic Champagne*,#57514B
94,Metallic Pueblo Beige,#291B06
95,Metallic Dark Ivory,#262117
96,Metallic Choco Brown,#120D07
97,Metallic Golden Brown,#332111
98,Metallic Light Brown,#3D3023
99,Metallic Straw Beige,#5E5343
100,Metallic Moss Brown,#37382B
101,Metallic Biston Brown,#221918
102,Metallic Beechwood,#575036
103,Metallic Dark Beechwood,#241309
104,Metallic Choco Orange,#3B1700
105,Metallic Beach Sand,#6E6246
106,Metallic Sun Bleeched Sand,#998D73
107,Metallic Cream,#CFC0A5
108,Util Brown*,#1F1709
109,Util Medium Brown*,#3D311D
