number,name,id
1,Black,0
2,Carbon Black,147
3,Graphite,1
4,Anthracite Black,11
5,Black Steel,2
6,Dark Steel,3
7,Silver,4
8,Bluish Silver,5
9,Rolled Steel,6
10,Shadow Silver,7
11,Stone Silver,8
12,Midnight Silver,9
13,Cast Iron Silver,10
14,Red,27
15,Torino Red,28
16,Formula Red,29
17,Lava Red,150
18,Blaze Red,30
19,Grace Red,31
20,Garnet Red,32
21,Sunset Red,33
22,Cabernet Red,34
23,Wine Red,143
24,Candy Red,35
25,Hot Pink,135
26,Pfister Pink,137
27,Salmon Pink,136
28,Sunrise Orange,36
29,Orange,38
30,Bright Orange,138
31,Gold,99
32,Bronze,90
33,Yellow,88
34,Race Yellow,89
35,Dew Yellow,91
36,Dark Green,49
37,Racing Green,50
38,Sea Green,51
39,Olive Green,52
40,Bright Green,53
41,Gasoline Green,54
42,Lime Green,92
43,Midnight Blue,141
44,Galaxy Blue,61
45,Dark Blue,62
46,Saxon Blue,63
47,Blue,64
48,Mariner Blue,65
49,Harbor Blue,66
50,Diamond Blue,67
51,Surf Blue,68
52,Nautical Blue,69
53,Racing Blue,73
54,Ultra Blue,70
55,Light Blue,74
56,Chocolate Brown,96
57,Bison Brown,101
58,Creek Brown,95
59,Feltzer Brown,94
60,Maple Brown,97
61,Beechwood Brown,103
62,Sienna Brown,104
63,Saddle Brown,98
64,Moss Brown,100
65,Woodbeech Brown,102
66,Straw Brown,99
67,Sandy Brown,105
68,Bleached Brown,106
69,Schafter Purple,71
70,Spinnaker Purple,72
71,Midnight Purple,146
72,Bright Purple,145
73,Cream,107
74,Ice White,111
75,Frost White,112
